,SA2 Code,SA2 Name,Education Level,Age Group,2006,2011,2016
0,502011021,Dawesville - Bouvard,Postgraduate Degree Level,25 - 34,0.0,7.0,16.0
1,502011021,Dawesville - Bouvard,Postgraduate Degree Level,35 - 44,0.0,7.0,13.0
2,502011021,Dawesville - Bouvard,Postgraduate Degree Level,45 - 54,8.0,12.0,21.0
3,502011021,Dawesville - Bouvard,Postgraduate Degree Level,55 - 64,6.0,6.0,15.0
4,502011021,Dawesville - Bouvard,Postgraduate Degree Level,65 - 74,4.0,9.0,14.0
5,502011021,Dawesville - Bouvard,Postgraduate Degree Level,75 - 84,0.0,3.0,3.0
6,502011021,Dawesville - Bouvard,Graduate Diploma and Graduate Certificate Level,25 - 34,7.0,5.0,3.0
7,502011021,Dawesville - Bouvard,Graduate Diploma and Graduate Certificate Level,35 - 44,5.0,23.0,28.0
8,502011021,Dawesville - Bouvard,Graduate Diploma and Graduate Certificate Level,45 - 54,8.0,12.0,26.0
9,502011021,Dawesville - Bouvard,Graduate Diploma and Graduate Certificate Level,55 - 64,3.0,8.0,16.0
10,502011021,Dawesville - Bouvard,Graduate Diploma and Graduate Certificate Level,65 - 74,0.0,3.0,9.0
11,502011021,Dawesville - Bouvard,Graduate Diploma and Graduate Certificate Level,75 - 84,0.0,0.0,0.0
12,502011021,Dawesville - Bouvard,Bachelor Degree Level,25 - 34,41.0,49.0,65.0
13,502011021,Dawesville - Bouvard,Bachelor Degree Level,35 - 44,48.0,67.0,116.0
14,502011021,Dawesville - Bouvard,Bachelor Degree Level,45 - 54,44.0,65.0,83.0
15,502011021,Dawesville - Bouvard,Bachelor Degree Level,55 - 64,29.0,55.0,86.0
16,502011021,Dawesville - Bouvard,Bachelor Degree Level,65 - 74,32.0,42.0,60.0
17,502011021,Dawesville - Bouvard,Bachelor Degree Level,75 - 84,6.0,8.0,20.0
18,502011022,Falcon - Wannanup,Postgraduate Degree Level,25 - 34,5.0,5.0,7.0
19,502011022,Falcon - Wannanup,Postgraduate Degree Level,35 - 44,9.0,18.0,23.0
20,502011022,Falcon - Wannanup,Postgraduate Degree Level,45 - 54,16.0,17.0,19.0
21,502011022,Falcon - Wannanup,Postgraduate Degree Level,55 - 64,4.0,13.0,21.0
22,502011022,Falcon - Wannanup,Postgraduate Degree Level,65 - 74,4.0,7.0,14.0
23,502011022,Falcon - Wannanup,Postgraduate Degree Level,75 - 84,0.0,8.0,3.0
24,502011022,Falcon - Wannanup,Graduate Diploma and Graduate Certificate Level,25 - 34,4.0,6.0,9.0
25,502011022,Falcon - Wannanup,Graduate Diploma and Graduate Certificate Level,35 - 44,11.0,15.0,21.0
26,502011022,Falcon - Wannanup,Graduate Diploma and Graduate Certificate Level,45 - 54,7.0,20.0,23.0
27,502011022,Falcon - Wannanup,Graduate Diploma and Graduate Certificate Level,55 - 64,12.0,11.0,21.0
28,502011022,Falcon - Wannanup,Graduate Diploma and Graduate Certificate Level,65 - 74,0.0,7.0,10.0
29,502011022,Falcon - Wannanup,Graduate Diploma and Graduate Certificate Level,75 - 84,0.0,3.0,0.0
30,502011022,Falcon - Wannanup,Bachelor Degree Level,25 - 34,51.0,66.0,90.0
31,502011022,Falcon - Wannanup,Bachelor Degree Level,35 - 44,72.0,114.0,158.0
32,502011022,Falcon - Wannanup,Bachelor Degree Level,45 - 54,77.0,78.0,141.0
33,502011022,Falcon - Wannanup,Bachelor Degree Level,55 - 64,67.0,101.0,121.0
34,502011022,Falcon - Wannanup,Bachelor Degree Level,65 - 74,24.0,48.0,86.0
35,502011022,Falcon - Wannanup,Bachelor Degree Level,75 - 84,11.0,11.0,22.0
36,502011023,Greenfields,Postgraduate Degree Level,25 - 34,3.0,7.0,17.0
37,502011023,Greenfields,Postgraduate Degree Level,35 - 44,3.0,4.0,23.0
38,502011023,Greenfields,Postgraduate Degree Level,45 - 54,6.0,13.0,17.0
39,502011023,Greenfields,Postgraduate Degree Level,55 - 64,3.0,3.0,10.0
40,502011023,Greenfields,Postgraduate Degree Level,65 - 74,4.0,9.0,9.0
41,502011023,Greenfields,Postgraduate Degree Level,75 - 84,3.0,4.0,5.0
42,502011023,Greenfields,Graduate Diploma and Graduate Certificate Level,25 - 34,6.0,3.0,10.0
43,502011023,Greenfields,Graduate Diploma and Graduate Certificate Level,35 - 44,14.0,11.0,17.0
