,SA2 Code,SA2 Name,House_avg2006,House_avg2011,House_avg2016,House%2006_2011,House%2011_2016,House%2006_2016
151,507031173,Kwinana Industrial,0.82,0,3.50,0.00,0.00,3.28
109,506031127,Cannington - Queens Park,2.40,2.61,2.79,0.09,0.07,0.16
25,504011046,Maylands,1.77,1.96,2.04,0.10,0.04,0.15
90,505031257,Two Rocks,2.34,2.47,2.61,0.06,0.05,0.12
101,506021119,East Victoria Park - Carlisle,2.11,2.28,2.35,0.08,0.03,0.11
105,506021123,Victoria Park - Lathlain - Burswood,2.03,2.17,2.25,0.07,0.04,0.11
74,505021095,Tuart Hill - Joondanna,1.83,1.96,2.03,0.07,0.03,0.11
22,503021043,Wembley - West Leederville - Glendalough,2.10,2.23,2.32,0.06,0.04,0.10
106,506031124,Bentley - Wilson - St James,2.21,2.37,2.44,0.07,0.03,0.10
162,507041183,Willagee,2.20,2.34,2.41,0.06,0.03,0.09
100,506021118,Belmont - Ascot - Redcliffe,2.22,2.39,2.41,0.08,0.01,0.09
95,506011113,Forrestdale - Harrisdale - Piara Waters,2.80,2.93,3.03,0.05,0.04,0.08
127,506071145,Como,1.95,2.05,2.11,0.05,0.03,0.08
86,505031107,Tapping - Ashby - Sinagra,2.77,2.99,2.99,0.08,0.00,0.08
118,506041136,Maddington - Orange Grove - Martin,2.50,2.57,2.70,0.03,0.05,0.08
104,506021122,Rivervale - Kewdale - Cloverdale,2.22,2.35,2.40,0.06,0.02,0.08
91,505031258,Yanchep,2.58,2.65,2.79,0.03,0.05,0.08
19,503021040,North Perth,2.22,2.34,2.39,0.05,0.02,0.08
71,505021092,Scarborough,1.98,2.06,2.13,0.04,0.04,0.08
17,503021038,Mount Hawthorn - Leederville,2.29,2.40,2.46,0.05,0.03,0.08
76,505021097,Yokine - Coolbinia - Menora,2.09,2.20,2.25,0.05,0.02,0.07
156,507041177,Bicton - Palmyra,2.12,2.22,2.28,0.05,0.03,0.07
75,505021096,Wembley Downs - Churchlands - Woodlands,2.50,2.62,2.68,0.05,0.02,0.07
81,505031102,Girrawheen,2.55,2.62,2.73,0.03,0.04,0.07
20,503021041,Perth City,1.78,1.85,1.90,0.04,0.03,0.07
113,506031131,Willetton,2.86,2.90,3.05,0.01,0.05,0.07
117,506041135,Huntingdale - Southern River,2.92,2.99,3.11,0.03,0.04,0.07
114,506041132,Beckenham - Kenwick - Langford,2.62,2.73,2.79,0.04,0.02,0.07
24,504011045,Bayswater - Embleton - Bedford,2.29,2.39,2.44,0.04,0.02,0.06
160,507041181,Melville,2.44,2.53,2.59,0.04,0.02,0.06
149,507031170,Calista,2.35,2.49,2.49,0.06,0.00,0.06
72,505021093,Stirling - Osborne Park,2.32,2.43,2.47,0.05,0.01,0.06
111,506031129,Riverton - Shelley - Rossmoyne,2.63,2.70,2.79,0.03,0.03,0.06
12,503011033,Floreat,2.84,2.97,3.01,0.04,0.01,0.06
69,505021090,Nollamara - Westminster,2.21,2.30,2.34,0.04,0.01,0.06
14,503011035,Nedlands - Dalkeith - Crawley,2.55,2.67,2.70,0.05,0.01,0.06
73,505021094,Trigg - North Beach - Watermans Bay,2.34,2.39,2.47,0.02,0.04,0.06
145,507021165,Fremantle,2.02,2.08,2.13,0.03,0.02,0.06
129,506071147,South Perth - Kensington,2.16,2.23,2.28,0.03,0.02,0.05
21,503021042,Subiaco - Shenton Park,2.08,2.12,2.19,0.02,0.03,0.05
116,506041134,Gosnells,2.43,2.47,2.55,0.02,0.03,0.05
157,507041178,Booragoon,2.43,2.47,2.55,0.02,0.03,0.05
10,503011031,Claremont (WA),2.12,2.20,2.23,0.04,0.01,0.05
13,503011034,Mosman Park - Peppermint Grove,2.32,2.37,2.42,0.02,0.02,0.05
41,504031062,Lockridge - Kiara,2.61,2.62,2.71,0.00,0.04,0.04
18,503021039,Mount Lawley - Inglewood,2.20,2.24,2.28,0.02,0.02,0.04
120,506051138,Forrestfield - Wattle Grove,2.64,2.67,2.74,0.01,0.03,0.04
6,502011027,Mandurah - North,2.69,2.71,2.79,0.01,0.03,0.04
67,505021088,Innaloo - Doubleview,2.18,2.26,2.26,0.04,0.00,0.04
65,505021086,Dianella,2.42,2.48,2.52,0.02,0.02,0.04
23,504011044,Bassendean - Eden Hill - Ashfield,2.33,2.39,2.42,0.03,0.01,0.04
146,507021166,Fremantle - South,2.29,2.36,2.37,0.03,0.01,0.03
40,504031061,Hazelmere - Guildford,2.44,2.52,2.52,0.03,0.00,0.03
154,507041175,Applecross - Ardross,2.52,2.54,2.59,0.01,0.02,0.03
148,507031169,Bertram - Wellard (West),2.91,2.91,3.00,0.00,0.03,0.03
68,505021089,Karrinyup - Gwelup - Carine,2.68,2.72,2.76,0.02,0.01,0.03
9,503011030,City Beach,2.80,2.84,2.88,0.01,0.02,0.03
140,507011161,Success - Hammond Park,2.82,2.82,2.90,0.00,0.03,0.03
144,507021164,East Fremantle,2.44,2.48,2.51,0.01,0.01,0.03
128,506071146,Manning - Waterford,2.63,2.61,2.69,0.00,0.03,0.03
4,502011025,Mandurah,1.89,1.96,1.94,0.04,-0.01,0.02
45,504031066,Midland - Guildford,2.14,2.14,2.19,0.00,0.02,0.02
26,504011047,Morley,2.52,2.55,2.58,0.01,0.01,0.02
8,502011029,Pinjarra,2.50,2.55,2.57,0.02,0.00,0.02
15,503011036,Swanbourne - Mount Claremont,2.68,2.68,2.74,0.00,0.02,0.02
125,506061143,Mundijong,3.02,3.10,3.08,0.03,-0.01,0.02
63,505021084,Balcatta - Hamersley,2.33,2.34,2.37,0.01,0.01,0.02
11,503011032,Cottesloe,2.46,2.47,2.50,0.00,0.01,0.02
36,504031057,Beechboro,2.91,2.95,2.96,0.01,0.00,0.02
37,504031058,Bullsbrook,2.80,2.83,2.84,0.01,0.00,0.02
110,506031128,Parkwood - Ferndale - Lynwood,2.48,2.50,2.52,0.01,0.01,0.02
135,507011154,Hamilton Hill,2.24,2.27,2.27,0.01,0.00,0.01
49,505011070,Craigie - Beldon,2.47,2.46,2.51,-0.01,0.02,0.01
77,505031098,Alexander Heights - Koondoola,2.93,2.90,2.97,-0.01,0.02,0.01
141,507011163,Yangebup,2.70,2.76,2.74,0.02,-0.01,0.01
7,502011028,Mandurah - South,2.22,2.27,2.25,0.02,-0.01,0.01
97,506011115,Mount Nasura - Mount Richon - Bedfordale,2.66,2.73,2.69,0.03,-0.01,0.01
167,507051188,Rockingham,2.10,2.11,2.13,0.00,0.01,0.01
83,505031104,Marangaroo,2.89,2.90,2.92,0.00,0.01,0.01
52,505011073,Greenwood - Warwick,2.57,2.61,2.60,0.01,0.00,0.01
64,505021085,Balga - Mirrabooka,2.69,2.76,2.72,0.02,-0.01,0.01
51,505011072,Duncraig,2.81,2.81,2.84,0.00,0.01,0.01
170,507051191,Singleton - Golden Bay - Secret Harbour,3.10,3.16,3.12,0.02,-0.01,0.01
169,507051190,Safety Bay - Shoalwater,2.29,2.32,2.31,0.01,0.00,0.01
87,505031108,Wanneroo,2.70,2.72,2.72,0.01,0.00,0.01
60,505011081,Padbury,2.57,2.62,2.59,0.02,-0.01,0.01
