,SA2 Code,SA2 Name,Rent2006,Rent2011,Rent2016,Rent%2006-2011,Rent%2011-2016,Rent%2006_2016,House_avg2006,House_avg2011,House_avg2016,House%2006_2011,House%2011_2016,House%2006_2016,Income_total_2006,Income_total_2011,Income_total_2016,Income%2006_2011,Income%2011_2016,Income%2006_2016,2006 Bachelor 25 and over,2011 Bachelor 25 and over,2016 Bachelor 25 and over,Bachelor%2006-2011,Bacherlor%2011-2016,Bacherlor%2006-2016,Sum2006-2011,Sum2011-2016,Sum2006-2016
16,503021037,Kings Park (WA),74,950,950,11.84,0,11.84,0,1.8,1.3,0,-0.28,0,199,2999,3999,14.07,0.33,19.1,3,6,3,-0.73,0.03,-0.7,25.18,0.08,30.24
137,507011158,North Coogee,74,849,549,10.47,-0.35,6.42,0,2.92,2.45,0,-0.16,0,199,2999,2499,14.07,-0.17,11.56,0,140,563,0.44,-0.06,0.38,24.98,-0.74,18.36
67,505021088,Innaloo - Doubleview,74,549,549,6.42,0,6.42,2.18,2.26,2.26,0.04,0,0.04,299,3000,2499,9.03,-0.17,7.36,2386,3255,4304,0.05,0.05,0.1,15.54,-0.12,13.92
145,507021165,Fremantle,74,549,549,6.42,0,6.42,2.02,2.08,2.13,0.03,0.02,0.06,299,1999,2499,5.69,0.25,7.36,2865,3648,4493,0.06,0.01,0.08,12.2,0.28,13.92
128,506071146,Manning - Waterford,74,549,549,6.42,0,6.42,2.63,2.61,2.69,0,0.03,0.03,299,599,2499,1,3.17,7.36,2023,2438,2918,0.05,0.03,0.08,7.47,3.23,13.89
15,503011036,Swanbourne - Mount Claremont,74,950,950,11.84,0,11.84,2.68,2.68,2.74,0,0.02,0.02,1999,2999,3999,0.5,0.33,1,2018,2441,2955,0.06,0.03,0.09,12.4,0.38,12.95
146,507021166,Fremantle - South,74,99,549,0.34,4.55,6.42,2.29,2.36,2.37,0.03,0.01,0.03,399,399,2499,0,5.26,5.26,2054,2656,3459,0.04,0.05,0.09,0.41,9.87,11.8
30,504021051,Helena Valley - Koongamia,74,324,549,3.38,0.69,6.42,2.8,2.71,2.6,-0.03,-0.04,-0.07,399,599,2499,0.5,3.17,5.26,350,461,633,0.01,0.02,0.03,3.86,3.84,11.64
106,506031124,Bentley - Wilson - St James,74,99,549,0.34,4.55,6.42,2.21,2.37,2.44,0.07,0.03,0.1,599,399,2499,-0.33,5.26,3.17,2147,3284,4166,0.07,0.05,0.12,0.15,9.89,9.81
134,507011153,Coolbellup,74,324,374,3.38,0.15,4.05,2.42,2.44,2.41,0.01,-0.01,-0.01,399,399,2499,0,5.26,5.26,643,998,1272,0.07,0.03,0.1,3.46,5.43,9.4
14,503011035,Nedlands - Dalkeith - Crawley,174,549,549,2.16,0,2.16,2.55,2.67,2.7,0.05,0.01,0.06,1249,2999,7999,1.4,1.67,5.4,5379,6243,7058,0.08,0.01,0.09,3.69,1.69,7.71
13,503011034,Mosman Park - Peppermint Grove,124,274,324,1.21,0.18,1.61,2.32,2.37,2.42,0.02,0.02,0.05,399,3000,2499,6.52,-0.17,5.26,2391,2921,3415,0.06,0.04,0.1,7.81,0.07,7.02
10,503011031,Claremont (WA),224,549,549,1.45,0,1.45,2.12,2.2,2.23,0.04,0.01,0.05,399,2999,2499,6.52,-0.17,5.26,1981,2433,2874,0.05,0.02,0.07,8.06,-0.14,6.83
123,506051141,Lesmurdie - Bickley - Carmel,224,324,549,0.45,0.69,1.45,2.78,2.8,2.78,0.01,-0.01,0,399,1999,2499,4.01,0.25,5.26,1434,1579,1823,0.02,0.02,0.04,4.49,0.95,6.75
85,505031106,Neerabup National Park,74,74,549,0,6.42,6.42,0,0,0,0,0,0,199,199,149,0,-0.25,-0.25,0,0,0,0,0,0,0,6.17,6.17
104,506021122,Rivervale - Kewdale - Cloverdale,174,324,549,0.86,0.69,2.16,2.22,2.35,2.4,0.06,0.02,0.08,599,1999,2499,2.34,0.25,3.17,1568,2852,4363,0.08,0.05,0.13,3.34,1.01,5.54
101,506021119,East Victoria Park - Carlisle,174,324,549,0.86,0.69,2.16,2.11,2.28,2.35,0.08,0.03,0.11,599,1999,2499,2.34,0.25,3.17,2208,3219,4135,0.07,0.03,0.1,3.35,1,5.54
100,506021118,Belmont - Ascot - Redcliffe,174,374,549,1.15,0.47,2.16,2.22,2.39,2.41,0.08,0.01,0.09,599,1999,2499,2.34,0.25,3.17,1036,1673,2133,0.05,0.03,0.08,3.62,0.76,5.5
