,SA2 Code,SA2 Name,Income,2016
0,502011021,Dawesville - Bouvard,"$1-$149 ($1-$7,799)",30.0
1,502011021,Dawesville - Bouvard,"$150-$299 ($7,800-$15,599)",53.0
2,502011021,Dawesville - Bouvard,"$300-$399 ($15,600-$20,799)",57.0
3,502011021,Dawesville - Bouvard,"$400-$499 ($20,800-$25,999)",152.0
4,502011021,Dawesville - Bouvard,"$500-$649 ($26,000-$33,799)",103.0
5,502011021,Dawesville - Bouvard,"$650-$799 ($33,800-$41,599)",267.0
6,502011021,Dawesville - Bouvard,"$800-$999 ($41,600-$51,999)",159.0
7,502011021,Dawesville - Bouvard,"$1,000-$1,249 ($52,000-$64,999)",213.0
8,502011021,Dawesville - Bouvard,"$1,250-$1,499 ($65,000-$77,999)",145.0
9,502011021,Dawesville - Bouvard,"$1,500-$1,749 ($78,000-$90,999)",114.0
10,502011021,Dawesville - Bouvard,"$1,750-$1,999 ($91,000-$103,999)",116.0
11,502011021,Dawesville - Bouvard,"$2,000-$2,499 ($104,000-$129,999)",244.0
12,502011021,Dawesville - Bouvard,"$2,500-$2,999 ($130,000-$155,999)",173.0
13,502011021,Dawesville - Bouvard,"$3,000-$3,499 ($156,000-$181,999)",105.0
14,502011021,Dawesville - Bouvard,"$3,500-$3,999 ($182,000-$207,999)",82.0
15,502011021,Dawesville - Bouvard,"$4,000-$4,499 ($208,000-$233,999)",40.0
16,502011021,Dawesville - Bouvard,"$4,500-$4,999 ($234,000-$259,999)",40.0
17,502011021,Dawesville - Bouvard,"$5,000-$5,999 ($260,000-$311,999)",33.0
18,502011021,Dawesville - Bouvard,"$6,000-$7,999 ($312,000-$415,999)",19.0
19,502011021,Dawesville - Bouvard,"$8,000 or more ($416,000 or more)",0.0
20,502011022,Falcon - Wannanup,"$1-$149 ($1-$7,799)",25.0
21,502011022,Falcon - Wannanup,"$150-$299 ($7,800-$15,599)",78.0
22,502011022,Falcon - Wannanup,"$300-$399 ($15,600-$20,799)",103.0
23,502011022,Falcon - Wannanup,"$400-$499 ($20,800-$25,999)",278.0
24,502011022,Falcon - Wannanup,"$500-$649 ($26,000-$33,799)",174.0
25,502011022,Falcon - Wannanup,"$650-$799 ($33,800-$41,599)",286.0
26,502011022,Falcon - Wannanup,"$800-$999 ($41,600-$51,999)",243.0
27,502011022,Falcon - Wannanup,"$1,000-$1,249 ($52,000-$64,999)",286.0
28,502011022,Falcon - Wannanup,"$1,250-$1,499 ($65,000-$77,999)",223.0
29,502011022,Falcon - Wannanup,"$1,500-$1,749 ($78,000-$90,999)",156.0
30,502011022,Falcon - Wannanup,"$1,750-$1,999 ($91,000-$103,999)",153.0
31,502011022,Falcon - Wannanup,"$2,000-$2,499 ($104,000-$129,999)",317.0
32,502011022,Falcon - Wannanup,"$2,500-$2,999 ($130,000-$155,999)",158.0
33,502011022,Falcon - Wannanup,"$3,000-$3,499 ($156,000-$181,999)",101.0
34,502011022,Falcon - Wannanup,"$3,500-$3,999 ($182,000-$207,999)",142.0
35,502011022,Falcon - Wannanup,"$4,000-$4,499 ($208,000-$233,999)",57.0
36,502011022,Falcon - Wannanup,"$4,500-$4,999 ($234,000-$259,999)",51.0
37,502011022,Falcon - Wannanup,"$5,000-$5,999 ($260,000-$311,999)",39.0
38,502011022,Falcon - Wannanup,"$6,000-$7,999 ($312,000-$415,999)",21.0
39,502011022,Falcon - Wannanup,"$8,000 or more ($416,000 or more)",0.0
40,502011023,Greenfields,"$1-$149 ($1-$7,799)",34.0
41,502011023,Greenfields,"$150-$299 ($7,800-$15,599)",90.0
42,502011023,Greenfields,"$300-$399 ($15,600-$20,799)",150.0
43,502011023,Greenfields,"$400-$499 ($20,800-$25,999)",415.0
44,502011023,Greenfields,"$500-$649 ($26,000-$33,799)",224.0
45,502011023,Greenfields,"$650-$799 ($33,800-$41,599)",497.0
46,502011023,Greenfields,"$800-$999 ($41,600-$51,999)",301.0
47,502011023,Greenfields,"$1,000-$1,249 ($52,000-$64,999)",352.0
48,502011023,Greenfields,"$1,250-$1,499 ($65,000-$77,999)",227.0
49,502011023,Greenfields,"$1,500-$1,749 ($78,000-$90,999)",196.0
50,502011023,Greenfields,"$1,750-$1,999 ($91,000-$103,999)",181.0
51,502011023,Greenfields,"$2,000-$2,499 ($104,000-$129,999)",279.0
52,502011023,Greenfields,"$2,500-$2,999 ($130,000-$155,999)",142.0
53,502011023,Greenfields,"$3,000-$3,499 ($156,000-$181,999)",70.0
54,502011023,Greenfields,"$3,500-$3,999 ($182,000-$207,999)",58.0
55,502011023,Greenfields,"$4,000-$4,499 ($208,000-$233,999)",41.0
56,502011023,Greenfields,"$4,500-$4,999 ($234,000-$259,999)",31.0
57,502011023,Greenfields,"$5,000-$5,999 ($260,000-$311,999)",24.0
58,502011023,Greenfields,"$6,000-$7,999 ($312,000-$415,999)",14.0
59,502011023,Greenfields,"$8,000 or more ($416,000 or more)",3.0
60,502011024,Halls Head - Erskine,"$1-$149 ($1-$7,799)",53.0
61,502011024,Halls Head - Erskine,"$150-$299 ($7,800-$15,599)",131.0
62,502011024,Halls Head - Erskine,"$300-$399 ($15,600-$20,799)",178.0
63,502011024,Halls Head - Erskine,"$400-$499 ($20,800-$25,999)",522.0
64,502011024,Halls Head - Erskine,"$500-$649 ($26,000-$33,799)",367.0
65,502011024,Halls Head - Erskine,"$650-$799 ($33,800-$41,599)",608.0
66,502011024,Halls Head - Erskine,"$800-$999 ($41,600-$51,999)",434.0
67,502011024,Halls Head - Erskine,"$1,000-$1,249 ($52,000-$64,999)",533.0
68,502011024,Halls Head - Erskine,"$1,250-$1,499 ($65,000-$77,999)",423.0
69,502011024,Halls Head - Erskine,"$1,500-$1,749 ($78,000-$90,999)",346.0
70,502011024,Halls Head - Erskine,"$1,750-$1,999 ($91,000-$103,999)",338.0
71,502011024,Halls Head - Erskine,"$2,000-$2,499 ($104,000-$129,999)",600.0
72,502011024,Halls Head - Erskine,"$2,500-$2,999 ($130,000-$155,999)",373.0
73,502011024,Halls Head - Erskine,"$3,000-$3,499 ($156,000-$181,999)",231.0
74,502011024,Halls Head - Erskine,"$3,500-$3,999 ($182,000-$207,999)",263.0
75,502011024,Halls Head - Erskine,"$4,000-$4,499 ($208,000-$233,999)",156.0
76,502011024,Halls Head - Erskine,"$4,500-$4,999 ($234,000-$259,999)",138.0
77,502011024,Halls Head - Erskine,"$5,000-$5,999 ($260,000-$311,999)",83.0
78,502011024,Halls Head - Erskine,"$6,000-$7,999 ($312,000-$415,999)",60.0
79,502011024,Halls Head - Erskine,"$8,000 or more ($416,000 or more)",9.0
80,502011025,Mandurah,"$1-$149 ($1-$7,799)",54.0
81,502011025,Mandurah,"$150-$299 ($7,800-$15,599)",165.0
82,502011025,Mandurah,"$300-$399 ($15,600-$20,799)",251.0
83,502011025,Mandurah,"$400-$499 ($20,800-$25,999)",517.0
84,502011025,Mandurah,"$500-$649 ($26,000-$33,799)",309.0
85,502011025,Mandurah,"$650-$799 ($33,800-$41,599)",396.0
86,502011025,Mandurah,"$800-$999 ($41,600-$51,999)",325.0
87,502011025,Mandurah,"$1,000-$1,249 ($52,000-$64,999)",376.0
88,502011025,Mandurah,"$1,250-$1,499 ($65,000-$77,999)",287.0
89,502011025,Mandurah,"$1,500-$1,749 ($78,000-$90,999)",177.0
90,502011025,Mandurah,"$1,750-$1,999 ($91,000-$103,999)",170.0
91,502011025,Mandurah,"$2,000-$2,499 ($104,000-$129,999)",239.0
92,502011025,Mandurah,"$2,500-$2,999 ($130,000-$155,999)",128.0
93,502011025,Mandurah,"$3,000-$3,499 ($156,000-$181,999)",61.0
94,502011025,Mandurah,"$3,500-$3,999 ($182,000-$207,999)",90.0
95,502011025,Mandurah,"$4,000-$4,499 ($208,000-$233,999)",24.0
96,502011025,Mandurah,"$4,500-$4,999 ($234,000-$259,999)",23.0
97,502011025,Mandurah,"$5,000-$5,999 ($260,000-$311,999)",24.0
98,502011025,Mandurah,"$6,000-$7,999 ($312,000-$415,999)",16.0
99,502011025,Mandurah,"$8,000 or more ($416,000 or more)",0.0
100,502011026,Mandurah - East,"$1-$149 ($1-$7,799)",20.0
101,502011026,Mandurah - East,"$150-$299 ($7,800-$15,599)",58.0
