,SA2 Name,Rent 2006,Rent 2011,Rent 2016
0,Dawesville - Bouvard,$150-$174,$300-$324,$350-$374
1,Falcon - Wannanup,$150-$174,$300-$324,$350-$374
2,Greenfields,$150-$174,$250-$274,$300-$324
3,Halls Head - Erskine,$175-$199,$300-$324,$350-$374
4,Mandurah,$150-$174,$250-$274,$300-$324
5,Mandurah - East,$150-$174,$300-$324,$350-$374
6,Mandurah - North,$200-$224,$350-$374,$400-$424
7,Mandurah - South,$150-$174,$250-$274,$300-$324
8,Pinjarra,$100-$124,$200-$224,$350-$374
9,City Beach,$450-$549,950,950
10,Claremont (WA),$200-$224,$450-$549,$450-$549
11,Cottesloe,$300-$324,$450-$549,$450-$549
12,Floreat,$200-$224,$450-$549,$550-$649
13,Mosman Park - Peppermint Grove,$100-$124,$250-$274,$300-$324
14,Nedlands - Dalkeith - Crawley,$150-$174,$450-$549,$450-$549
15,Swanbourne - Mount Claremont,$1-$74,950,950
16,Kings Park (WA),$1-$74,950,950
17,Mount Hawthorn - Leederville,$200-$224,$450-$549,$450-$549
18,Mount Lawley - Inglewood,$150-$174,$300-$324,$450-$549
19,North Perth,$250-$274,$450-$549,$450-$549
20,Perth City,$250-$274,$450-$549,$450-$549
21,Subiaco - Shenton Park,$200-$224,$450-$549,$450-$549
22,Wembley - West Leederville - Glendalough,$125-$149,$300-$324,$300-$324
23,Bassendean - Eden Hill - Ashfield,$150-$174,$300-$324,$350-$374
24,Bayswater - Embleton - Bedford,$150-$174,$300-$324,$450-$549
25,Maylands,$150-$174,$300-$324,$300-$324
26,Morley,$200-$224,$300-$324,$450-$549
27,Noranda,$150-$174,$300-$324,$450-$549
28,Chidlow,$175-$199,$300-$324,$450-$549
29,Glen Forrest - Darlington,$150-$174,$450-$549,$450-$549
30,Helena Valley - Koongamia,$1-$74,$300-$324,$450-$549
31,Malmalling - Reservoir,$1-$74,$1-$74,$1-$74
32,Mundaring,$150-$174,$350-$374,$450-$549
33,Swan View - Greenmount - Midvale,$150-$174,$300-$324,$350-$374
34,Avon Valley National Park,$1-$74,$1-$74,$1-$74
35,Ballajura,$200-$224,$350-$374,$400-$424
36,Beechboro,$150-$174,$350-$374,$350-$374
37,Bullsbrook,$150-$174,$350-$374,$300-$324
38,Ellenbrook,$250-$274,$350-$374,$450-$549
39,Gidgegannup,$150-$174,$200-$224,$450-$549
40,Hazelmere - Guildford,$200-$224,$350-$374,$400-$424
41,Lockridge - Kiara,$150-$174,$300-$324,$350-$374
42,Malaga,$1-$74,$1-$74,$1-$74
43,Melaleuca - Lexia,$1-$74,$1-$74,$1-$74
44,Middle Swan - Herne Hill,$150-$174,$300-$324,$350-$374
45,Midland - Guildford,$150-$174,$300-$324,$350-$374
46,Stratton - Jane Brook,$175-$199,$350-$374,$350-$374
47,The Vines,$200-$224,$450-$549,$450-$549
48,Walyunga National Park,$1-$74,$1-$74,$1-$74
49,Craigie - Beldon,$175-$199,$350-$374,$350-$374
50,Currambine - Kinross,$250-$274,$400-$424,$450-$549
51,Duncraig,$200-$224,$450-$549,$450-$549
52,Greenwood - Warwick,$200-$224,$350-$374,$450-$549
53,Heathridge - Connolly,$200-$224,$350-$374,$400-$424
54,Hillarys,$200-$224,$450-$549,$450-$549
55,Iluka - Burns Beach,$400-$424,$650-$749,$650-$749
56,Joondalup - Edgewater,$200-$224,$350-$374,$450-$549
57,Kingsley,$200-$224,$450-$549,$450-$549
58,Mullaloo - Kallaroo,$250-$274,$450-$549,$450-$549
59,Ocean Reef,$250-$274,$450-$549,$450-$549
60,Padbury,$200-$224,$350-$374,$450-$549
61,Sorrento - Marmion,$200-$224,$450-$549,$450-$549
62,Woodvale,$250-$274,$450-$549,$450-$549
63,Balcatta - Hamersley,$200-$224,$350-$374,$350-$374
64,Balga - Mirrabooka,$150-$174,$300-$324,$350-$374
65,Dianella,$150-$174,$300-$324,$450-$549
66,Herdsman,$1-$74,$1-$74,$1-$74
67,Innaloo - Doubleview,$1-$74,$450-$549,$450-$549
68,Karrinyup - Gwelup - Carine,$200-$224,$450-$549,$450-$549
69,Nollamara - Westminster,$150-$174,$350-$374,$350-$374
70,Osborne Park Industrial,$1-$74,$1-$74,$1-$74
71,Scarborough,$200-$224,$300-$324,$450-$549
72,Stirling - Osborne Park,$150-$174,$300-$324,$300-$324
73,Trigg - North Beach - Watermans Bay,$200-$224,$300-$324,$450-$549
74,Tuart Hill - Joondanna,$150-$174,$300-$324,$300-$324
75,Wembley Downs - Churchlands - Woodlands,$175-$199,$300-$324,$450-$549
76,Yokine - Coolbinia - Menora,$150-$174,$300-$324,$450-$549
77,Alexander Heights - Koondoola,$175-$199,$300-$324,$350-$374
78,Butler - Merriwa - Ridgewood,$250-$274,$350-$374,$350-$374
79,Carramar,$250-$274,$400-$424,$450-$549
80,Clarkson,$200-$224,$350-$374,$400-$424
81,Girrawheen,$150-$174,$300-$324,$300-$324
82,Madeley - Darch - Landsdale,$250-$274,$450-$549,$450-$549
83,Marangaroo,$175-$199,$350-$374,$400-$424
84,Mindarie - Quinns Rocks - Jindalee,$200-$224,$450-$549,$450-$549
85,Neerabup National Park,$1-$74,$1-$74,$450-$549
86,Tapping - Ashby - Sinagra,$275-$299,$400-$424,$450-$549
87,Wanneroo,$150-$174,$350-$374,$450-$549
88,Alkimos - Eglinton,$1-$74,$1-$74,$350-$374
89,Carabooda - Pinjar,$150-$174,$300-$324,$250-$274
90,Two Rocks,$150-$174,$250-$274,$300-$324
91,Yanchep,$150-$174,$300-$324,$350-$374
92,Armadale - Wungong - Brookdale,$150-$174,$300-$324,$300-$324
93,Ashendon - Lesley,$1-$74,$1-$74,$1-$74
94,Camillo - Champion Lakes,$150-$174,$300-$324,$300-$324
95,Forrestdale - Harrisdale - Piara Waters,$150-$174,$450-$549,$450-$549
96,Kelmscott,$150-$174,$300-$324,$300-$324
