,SA2 Code,SA2 Name,Rent,2006,2011,2016
0,502011021,Dawesville - Bouvard,Nil payments,18.0,20.0,25.0
1,502011021,Dawesville - Bouvard,$1-$74,0.0,0.0,0.0
2,502011021,Dawesville - Bouvard,$75-$99,3.0,0.0,3.0
3,502011021,Dawesville - Bouvard,$100-$124,13.0,12.0,6.0
4,502011021,Dawesville - Bouvard,$125-$149,16.0,22.0,0.0
5,502011021,Dawesville - Bouvard,$150-$174,45.0,22.0,18.0
6,502011021,Dawesville - Bouvard,$175-$199,22.0,18.0,10.0
7,502011021,Dawesville - Bouvard,$200-$224,27.0,32.0,30.0
8,502011021,Dawesville - Bouvard,$225-$249,21.0,24.0,15.0
9,502011021,Dawesville - Bouvard,$250-$274,14.0,47.0,21.0
10,502011021,Dawesville - Bouvard,$275-$299,8.0,33.0,13.0
11,502011021,Dawesville - Bouvard,$300-$324,5.0,77.0,47.0
12,502011021,Dawesville - Bouvard,$325-$349,0.0,36.0,32.0
13,502011021,Dawesville - Bouvard,$350-$374,0.0,50.0,67.0
14,502011021,Dawesville - Bouvard,$375-$399,0.0,20.0,37.0
15,502011021,Dawesville - Bouvard,$400-$424,0.0,11.0,50.0
16,502011021,Dawesville - Bouvard,$425-$449,0.0,8.0,6.0
17,502011021,Dawesville - Bouvard,$450-$549,0.0,20.0,58.0
18,502011021,Dawesville - Bouvard,$550-$649,0.0,3.0,17.0
19,502011021,Dawesville - Bouvard,$650-$749,0.0,0.0,4.0
20,502011021,Dawesville - Bouvard,$750-$849,0.0,0.0,0.0
21,502011021,Dawesville - Bouvard,$850-$949,0.0,0.0,0.0
22,502011021,Dawesville - Bouvard,$950 and over,0.0,3.0,3.0
23,502011022,Falcon - Wannanup,Nil payments,24.0,36.0,38.0
24,502011022,Falcon - Wannanup,$1-$74,9.0,9.0,0.0
25,502011022,Falcon - Wannanup,$75-$99,6.0,3.0,0.0
26,502011022,Falcon - Wannanup,$100-$124,43.0,10.0,3.0
27,502011022,Falcon - Wannanup,$125-$149,86.0,20.0,9.0
28,502011022,Falcon - Wannanup,$150-$174,148.0,44.0,22.0
29,502011022,Falcon - Wannanup,$175-$199,60.0,38.0,16.0
30,502011022,Falcon - Wannanup,$200-$224,61.0,81.0,43.0
31,502011022,Falcon - Wannanup,$225-$249,50.0,64.0,23.0
32,502011022,Falcon - Wannanup,$250-$274,47.0,129.0,71.0
33,502011022,Falcon - Wannanup,$275-$299,15.0,71.0,58.0
34,502011022,Falcon - Wannanup,$300-$324,17.0,164.0,116.0
35,502011022,Falcon - Wannanup,$325-$349,0.0,53.0,63.0
