,SA2 Name,Rent2006,Rent2011,Rent2016,Rent%2006_2011,Rent%2006_2011,Rent%2006_2011,,,,2006-2011,2011-2016,2006-2016
0,Dawesville - Bouvard,174,324,374,0.86,0.15,1.15,150,50,200,0.862068966,0.154320988,1.149425287
1,Falcon - Wannanup,174,324,374,0.86,0.15,1.15,150,50,200,0.862068966,0.154320988,1.149425287
2,Greenfields,174,274,324,0.57,0.18,0.86,100,50,150,0.574712644,0.182481752,0.862068966
3,Halls Head - Erskine,199,324,374,0.63,0.15,0.88,125,50,175,0.628140704,0.154320988,0.879396985
4,Mandurah,174,274,324,0.57,0.18,0.86,100,50,150,0.574712644,0.182481752,0.862068966
5,Mandurah - East,174,324,374,0.86,0.15,1.15,150,50,200,0.862068966,0.154320988,1.149425287
6,Mandurah - North,224,374,424,0.67,0.13,0.89,150,50,200,0.669642857,0.13368984,0.892857143
7,Mandurah - South,174,274,324,0.57,0.18,0.86,100,50,150,0.574712644,0.182481752,0.862068966
8,Pinjarra,124,224,374,0.81,0.67,2.02,100,150,250,0.806451613,0.669642857,2.016129032
9,City Beach,549,950,950,0.73,0,0.73,401,0,401,0.730418944,0,0.730418944
10,Claremont (WA),224,549,549,1.45,0,1.45,325,0,325,1.450892857,0,1.450892857
11,Cottesloe,324,549,549,0.69,0,0.69,225,0,225,0.694444444,0,0.694444444
12,Floreat,224,549,649,1.45,0.18,1.9,325,100,425,1.450892857,0.182149362,1.897321429
13,Mosman Park - Peppermint Grove,124,274,324,1.21,0.18,1.61,150,50,200,1.209677419,0.182481752,1.612903226
14,Nedlands - Dalkeith - Crawley,174,549,549,2.16,0,2.16,375,0,375,2.155172414,0,2.155172414
15,Swanbourne - Mount Claremont,74,950,950,11.84,0,11.84,876,0,876,11.83783784,0,11.83783784
16,Kings Park (WA),74,950,950,11.84,0,11.84,876,0,876,11.83783784,0,11.83783784
17,Mount Hawthorn - Leederville,224,549,549,1.45,0,1.45,325,0,325,1.450892857,0,1.450892857
18,Mount Lawley - Inglewood,174,324,549,0.86,0.69,2.16,150,225,375,0.862068966,0.694444444,2.155172414
19,North Perth,274,549,549,1,0,1,275,0,275,1.003649635,0,1.003649635
20,Perth City,274,549,549,1,0,1,275,0,275,1.003649635,0,1.003649635
21,Subiaco - Shenton Park,224,549,549,1.45,0,1.45,325,0,325,1.450892857,0,1.450892857
22,Wembley - West Leederville - Glendalough,149,324,324,1.17,0,1.17,175,0,175,1.174496644,0,1.174496644
23,Bassendean - Eden Hill - Ashfield,174,324,374,0.86,0.15,1.15,150,50,200,0.862068966,0.154320988,1.149425287
24,Bayswater - Embleton - Bedford,174,324,549,0.86,0.69,2.16,150,225,375,0.862068966,0.694444444,2.155172414
25,Maylands,174,324,324,0.86,0,0.86,150,0,150,0.862068966,0,0.862068966
26,Morley,224,324,549,0.45,0.69,1.45,100,225,325,0.446428571,0.694444444,1.450892857
27,Noranda,174,324,549,0.86,0.69,2.16,150,225,375,0.862068966,0.694444444,2.155172414
28,Chidlow,199,324,549,0.63,0.69,1.76,125,225,350,0.628140704,0.694444444,1.75879397
29,Glen Forrest - Darlington,174,549,549,2.16,0,2.16,375,0,375,2.155172414,0,2.155172414
30,Helena Valley - Koongamia,74,324,549,3.38,0.69,6.42,250,225,475,3.378378378,0.694444444,6.418918919
31,Malmalling - Reservoir,74,74,74,0,0,0,0,0,0,0,0,0
32,Mundaring,174,374,549,1.15,0.47,2.16,200,175,375,1.149425287,0.467914439,2.155172414
33,Swan View - Greenmount - Midvale,174,324,374,0.86,0.15,1.15,150,50,200,0.862068966,0.154320988,1.149425287
34,Avon Valley National Park,74,74,74,0,0,0,0,0,0,0,0,0
35,Ballajura,224,374,424,0.67,0.13,0.89,150,50,200,0.669642857,0.13368984,0.892857143
36,Beechboro,174,374,374,1.15,0,1.15,200,0,200,1.149425287,0,1.149425287
37,Bullsbrook,174,374,324,1.15,-0.13,0.86,200,-50,150,1.149425287,-0.13368984,0.862068966
38,Ellenbrook,274,374,549,0.37,0.47,1,100,175,275,0.364963504,0.467914439,1.003649635
39,Gidgegannup,174,224,549,0.29,1.45,2.16,50,325,375,0.287356322,1.450892857,2.155172414
40,Hazelmere - Guildford,224,374,424,0.67,0.13,0.89,150,50,200,0.669642857,0.13368984,0.892857143
41,Lockridge - Kiara,174,324,374,0.86,0.15,1.15,150,50,200,0.862068966,0.154320988,1.149425287
42,Malaga,74,74,74,0,0,0,0,0,0,0,0,0
43,Melaleuca - Lexia,74,74,74,0,0,0,0,0,0,0,0,0
