,SA2 Name,2006-2011,2011-2016,changes
0,Dawesville - Bouvard,86%,15%,115%
1,Falcon - Wannanup,86%,15%,115%
2,Greenfields,57%,18%,86%
3,Halls Head - Erskine,63%,15%,88%
4,Mandurah,57%,18%,86%
5,Mandurah - East,86%,15%,115%
6,Mandurah - North,67%,13%,89%
7,Mandurah - South,57%,18%,86%
8,Pinjarra,81%,67%,202%
9,City Beach,73%,0%,73%
10,Claremont (WA),145%,0%,145%
11,Cottesloe,69%,0%,69%
12,Floreat,145%,18%,190%
13,Mosman Park - Peppermint Grove,121%,18%,161%
14,Nedlands - Dalkeith - Crawley,216%,0%,216%
15,Swanbourne - Mount Claremont,1184%,0%,1184%
16,Kings Park (WA),1184%,0%,1184%
17,Mount Hawthorn - Leederville,145%,0%,145%
18,Mount Lawley - Inglewood,86%,69%,216%
19,North Perth,100%,0%,100%
20,Perth City,100%,0%,100%
21,Subiaco - Shenton Park,145%,0%,145%
22,Wembley - West Leederville - Glendalough,117%,0%,117%
23,Bassendean - Eden Hill - Ashfield,86%,15%,115%
24,Bayswater - Embleton - Bedford,86%,69%,216%
25,Maylands,86%,0%,86%
26,Morley,45%,69%,145%
27,Noranda,86%,69%,216%
28,Chidlow,63%,69%,176%
29,Glen Forrest - Darlington,216%,0%,216%
30,Helena Valley - Koongamia,338%,69%,642%
31,Malmalling - Reservoir,0%,0%,0%
32,Mundaring,115%,47%,216%
33,Swan View - Greenmount - Midvale,86%,15%,115%
34,Avon Valley National Park,0%,0%,0%
35,Ballajura,67%,13%,89%
36,Beechboro,115%,0%,115%
37,Bullsbrook,115%,-13%,86%
38,Ellenbrook,37%,47%,100%
39,Gidgegannup,29%,145%,216%
40,Hazelmere - Guildford,67%,13%,89%
41,Lockridge - Kiara,86%,15%,115%
42,Malaga,0%,0%,0%
43,Melaleuca - Lexia,0%,0%,0%
44,Middle Swan - Herne Hill,86%,15%,115%
45,Midland - Guildford,86%,15%,115%
46,Stratton - Jane Brook,88%,0%,88%
47,The Vines,145%,0%,145%
48,Walyunga National Park,0%,0%,0%
49,Craigie - Beldon,88%,0%,88%
50,Currambine - Kinross,55%,29%,100%
51,Duncraig,145%,0%,145%
52,Greenwood - Warwick,67%,47%,145%
53,Heathridge - Connolly,67%,13%,89%
54,Hillarys,145%,0%,145%
55,Iluka - Burns Beach,77%,0%,77%
56,Joondalup - Edgewater,67%,47%,145%
57,Kingsley,145%,0%,145%
58,Mullaloo - Kallaroo,100%,0%,100%
59,Ocean Reef,100%,0%,100%
60,Padbury,67%,47%,145%
61,Sorrento - Marmion,145%,0%,145%
62,Woodvale,100%,0%,100%
63,Balcatta - Hamersley,67%,0%,67%
64,Balga - Mirrabooka,86%,15%,115%
65,Dianella,86%,69%,216%
66,Herdsman,0%,0%,0%
67,Innaloo - Doubleview,642%,0%,642%
68,Karrinyup - Gwelup - Carine,145%,0%,145%
69,Nollamara - Westminster,115%,0%,115%
70,Osborne Park Industrial,0%,0%,0%
71,Scarborough,45%,69%,145%
72,Stirling - Osborne Park,86%,0%,86%
73,Trigg - North Beach - Watermans Bay,45%,69%,145%
74,Tuart Hill - Joondanna,86%,0%,86%
75,Wembley Downs - Churchlands - Woodlands,63%,69%,176%
76,Yokine - Coolbinia - Menora,86%,69%,216%
77,Alexander Heights - Koondoola,63%,15%,88%
78,Butler - Merriwa - Ridgewood,37%,0%,37%
79,Carramar,55%,29%,100%
80,Clarkson,67%,13%,89%
81,Girrawheen,86%,0%,86%
82,Madeley - Darch - Landsdale,100%,0%,100%
83,Marangaroo,88%,13%,113%
84,Mindarie - Quinns Rocks - Jindalee,145%,0%,145%
85,Neerabup National Park,0%,642%,642%
86,Tapping - Ashby - Sinagra,42%,29%,84%
87,Wanneroo,115%,47%,216%
88,Alkimos - Eglinton,0%,405%,405%
89,Carabooda - Pinjar,86%,-15%,57%
90,Two Rocks,57%,18%,86%
91,Yanchep,86%,15%,115%
92,Armadale - Wungong - Brookdale,86%,0%,86%
93,Ashendon - Lesley,0%,0%,0%
94,Camillo - Champion Lakes,86%,0%,86%
95,Forrestdale - Harrisdale - Piara Waters,216%,0%,216%
96,Kelmscott,86%,0%,86%
