,Unnamed: 0,SA2 Name,%2006-2011,%2011-2016,%2006-2016
0,0,Dawesville - Bouvard,0.86,0.15,1.15
1,1,Falcon - Wannanup,0.86,0.15,1.15
2,2,Greenfields,0.57,0.18,0.86
3,3,Halls Head - Erskine,0.63,0.15,0.88
4,4,Mandurah,0.57,0.18,0.86
5,5,Mandurah - East,0.86,0.15,1.15
6,6,Mandurah - North,0.67,0.13,0.89
7,7,Mandurah - South,0.57,0.18,0.86
8,8,Pinjarra,0.81,0.67,2.02
9,9,City Beach,0.73,0.0,0.73
10,10,Claremont (WA),1.45,0.0,1.45
11,11,Cottesloe,0.69,0.0,0.69
12,12,Floreat,1.45,0.18,1.9
13,13,Mosman Park - Peppermint Grove,1.21,0.18,1.61
14,14,Nedlands - Dalkeith - Crawley,2.16,0.0,2.16
15,15,Swanbourne - Mount Claremont,11.84,0.0,11.84
16,16,Kings Park (WA),11.84,0.0,11.84
17,17,Mount Hawthorn - Leederville,1.45,0.0,1.45
18,18,Mount Lawley - Inglewood,0.86,0.69,2.16
19,19,North Perth,1.0,0.0,1.0
20,20,Perth City,1.0,0.0,1.0
21,21,Subiaco - Shenton Park,1.45,0.0,1.45
22,22,Wembley - West Leederville - Glendalough,1.17,0.0,1.17
23,23,Bassendean - Eden Hill - Ashfield,0.86,0.15,1.15
24,24,Bayswater - Embleton - Bedford,0.86,0.69,2.16
25,25,Maylands,0.86,0.0,0.86
26,26,Morley,0.45,0.69,1.45
27,27,Noranda,0.86,0.69,2.16
28,28,Chidlow,0.63,0.69,1.76
29,29,Glen Forrest - Darlington,2.16,0.0,2.16
30,30,Helena Valley - Koongamia,3.38,0.69,6.42
31,31,Malmalling - Reservoir,0.0,0.0,0.0
32,32,Mundaring,1.15,0.47,2.16
33,33,Swan View - Greenmount - Midvale,0.86,0.15,1.15
34,34,Avon Valley National Park,0.0,0.0,0.0
35,35,Ballajura,0.67,0.13,0.89
36,36,Beechboro,1.15,0.0,1.15
37,37,Bullsbrook,1.15,-0.13,0.86
38,38,Ellenbrook,0.37,0.47,1.0
