,SA2 Name,SA2 Code,2006 Total,2011 Total,2016 Total,2006 Bachelor 25 and over,2011 Bachelor 25 and over,2016 Bachelor 25 and over,2006%,2011%,2016%,Bachelor%2006-2011,Bacherlor%2011-2016,Bacherlor%2006-2016
43,Melaleuca - Lexia,504031064,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48,Walyunga National Park,504031069,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
66,Herdsman,505021087,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
102,Kewdale Commercial,506021120,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
108,Canning Vale Commercial,506031126,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
132,Bibra Lake,507011151,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,Avon Valley National Park,504031055,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
70,Osborne Park Industrial,505021091,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
85,Neerabup National Park,505031106,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
93,Ashendon - Lesley,506011111,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
168,Rockingham Lakes,507051189,0.00,11.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
137,North Coogee,507011158,0.00,319.00,1483.00,0.00,140.00,563.00,0.00,0.44,0.38,0.44,-0.06,0.38
95,Forrestdale - Harrisdale - Piara Waters,506011113,514.00,3464.00,9585.00,87.00,1083.00,4029.00,0.17,0.31,0.42,0.14,0.11,0.25
88,Alkimos - Eglinton,505031255,0.00,37.00,4018.00,0.00,6.00,883.00,0.00,0.16,0.22,0.16,0.06,0.22
109,Cannington - Queens Park,506031127,4770.00,7304.00,9265.00,1048.00,2443.00,3863.00,0.22,0.33,0.42,0.11,0.08,0.20
148,Bertram - Wellard (West),507031169,1345.00,3258.00,6530.00,200.00,740.00,2170.00,0.15,0.23,0.33,0.08,0.11,0.18
117,Huntingdale - Southern River,506041135,3947.00,5707.00,8246.00,603.00,1244.00,2666.00,0.15,0.22,0.32,0.07,0.11,0.17
69,Nollamara - Westminster,505021090,4711.00,6994.00,9272.00,849.00,2051.00,3234.00,0.18,0.29,0.35,0.11,0.06,0.17
