,SA2 Code,SA2 Name,Household Size,2006,2011,2016,,,,,,
0,502011021,Dawesville - Bouvard,Total,1389,1970,2515,,,,,,
1,502011021,Dawesville - Bouvard,1,211,355,459,,,,,,
2,502011021,Dawesville - Bouvard,2,610,817,1061,,,,,,
3,502011021,Dawesville - Bouvard,3,184,267,371,,,,,,
4,502011021,Dawesville - Bouvard,4,240,350,405,,,,,,
5,502011021,Dawesville - Bouvard,5,101,133,165,,,,,,
6,502011021,Dawesville - Bouvard,6,30,43,47,,,,,,
7,502011021,Dawesville - Bouvard,7,10,10,7,,,,,,
8,502011021,Dawesville - Bouvard,8,0,0,3,,,,,,
9,502011022,Falcon - Wannanup,Total,2124,2821,3316,,,,,,
10,502011022,Falcon - Wannanup,1,444,615,770,,,,,,
11,502011022,Falcon - Wannanup,2,950,1259,1412,,,,,,
12,502011022,Falcon - Wannanup,3,276,363,457,,,,,,
13,502011022,Falcon - Wannanup,4,300,395,447,,,,,,
14,502011022,Falcon - Wannanup,5,114,124,156,,,,,,
15,502011022,Falcon - Wannanup,6,25,48,57,,,,,,
16,502011022,Falcon - Wannanup,7,3,8,14,,,,,,
17,502011022,Falcon - Wannanup,8,3,9,9,,,,,,
18,502011023,Greenfields,Total,3381,3771,3849,,,,,,
19,502011023,Greenfields,1,744,941,1107,,,,,,
20,502011023,Greenfields,2,1368,1485,1444,,,,,,
21,502011023,Greenfields,3,466,542,540,,,,,,
22,502011023,Greenfields,4,460,479,459,,,,,,
23,502011023,Greenfields,5,240,208,172,,,,,,
24,502011023,Greenfields,6,81,74,85,,,,,,
25,502011023,Greenfields,7,19,23,24,,,,,,
26,502011023,Greenfields,8,4,12,18,,,,,,
27,502011024,Halls Head - Erskine,Total,5035,6257,6836,,,,,,
28,502011024,Halls Head - Erskine,1,922,1304,1561,,,,,,
29,502011024,Halls Head - Erskine,2,2156,2562,2777,,,,,,
30,502011024,Halls Head - Erskine,3,710,861,967,,,,,,
31,502011024,Halls Head - Erskine,4,817,996,966,,,,,,
32,502011024,Halls Head - Erskine,5,319,391,413,,,,,,
33,502011024,Halls Head - Erskine,6,89,99,116,,,,,,
34,502011024,Halls Head - Erskine,7,14,21,28,,,,,,
35,502011024,Halls Head - Erskine,8,3,19,8,,,,,,
36,502011025,Mandurah,Total,3480,3937,4096,,,,,,
37,502011025,Mandurah,1,1462,1655,1707,,,,,,
38,502011025,Mandurah,2,1347,1456,1504,,,,,,
39,502011025,Mandurah,3,380,444,470,,,,,,
40,502011025,Mandurah,4,172,247,263,,,,,,
41,502011025,Mandurah,5,80,97,95,,,,,,
42,502011025,Mandurah,6,25,34,37,,,,,,
43,502011025,Mandurah,7,3,14,9,,,,,,
44,502011025,Mandurah,8,3,4,0,,,,,,
45,502011026,Mandurah - East,Total,1735,1866,2192,,,,,,
46,502011026,Mandurah - East,1,389,462,505,,,,,,
47,502011026,Mandurah - East,2,815,813,971,,,,,,
48,502011026,Mandurah - East,3,179,230,300,,,,,,
49,502011026,Mandurah - East,4,214,238,257,,,,,,
50,502011026,Mandurah - East,5,102,86,114,,,,,,
51,502011026,Mandurah - East,6,35,24,33,,,,,,
