SA2 Name,2006,2011,
Dawesville - Bouvard,599.00,599.00,
Falcon - Wannanup,599.00,599.00,
Greenfields,599.00,599.00,
Halls Head - Erskine,599.00,1999.00,
Mandurah,399.00,599.00,
Mandurah - East,599.00,599.00,
Mandurah - North,1249.00,1999.00,
Mandurah - South,599.00,599.00,
Pinjarra,599.00,599.00,
City Beach,2999.00,3000.00,
Claremont (WA),399.00,2999.00,
Cottesloe,2999.00,3000.00,
Floreat,2999.00,3000.00,
Mosman Park - Peppermint Grove,399.00,3000.00,
Nedlands - Dalkeith - Crawley,1249.00,2999.00,
Swanbourne - Mount Claremont,1999.00,2999.00,
Kings Park (WA),199.00,2999.00,
Mount Hawthorn - Leederville,1249.00,3000.00,
Mount Lawley - Inglewood,799.00,1999.00,
North Perth,1249.00,3000.00,
Perth City,1249.00,2999.00,
Subiaco - Shenton Park,1249.00,2999.00,
Wembley - West Leederville - Glendalough,599.00,1999.00,
Bassendean - Eden Hill - Ashfield,599.00,599.00,
Bayswater - Embleton - Bedford,599.00,1999.00,
Maylands,599.00,1249.00,
Morley,599.00,1999.00,
Noranda,599.00,1999.00,
Chidlow,599.00,399.00,
Glen Forrest - Darlington,599.00,1499.00,
Helena Valley - Koongamia,399.00,599.00,
Malmalling - Reservoir,199.00,199.00,
Mundaring,599.00,1999.00,
Swan View - Greenmount - Midvale,599.00,599.00,
Avon Valley National Park,199.00,199.00,
Ballajura,599.00,1999.00,
Beechboro,599.00,1249.00,
Bullsbrook,599.00,599.00,
Ellenbrook,1249.00,1999.00,
Gidgegannup,1249.00,1999.00,
Hazelmere - South Guildford,599.00,1249.00,
Lockridge - Kiara,599.00,599.00,
Malaga,199.00,199.00,
Melaleuca - Lexia,199.00,199.00,
Middle Swan - Herne Hill,1249.00,1249.00,
Midland - Guildford,599.00,799.00,
Stratton - Jane Brook,599.00,799.00,
The Vines,1249.00,3000.00,
Walyunga National Park,199.00,199.00,
Craigie - Beldon,599.00,1999.00,
Currambine - Kinross,1249.00,1999.00,
Duncraig,1999.00,1999.00,
Greenwood - Warwick,1249.00,1999.00,
Heathridge - Connolly,1249.00,1999.00,
Hillarys,1249.00,2999.00,
Iluka - Burns Beach,1999.00,2999.00,
Joondalup - Edgewater,1249.00,1999.00,
Kingsley,1249.00,1999.00,
Mullaloo - Kallaroo,1249.00,2999.00,
Ocean Reef,1999.00,2999.00,
Padbury,1249.00,1999.00,
Sorrento - Marmion,1999.00,3000.00,
Woodvale,1249.00,2999.00,
Balcatta - Hamersley,599.00,1999.00,
Balga - Mirrabooka,599.00,599.00,
Dianella,599.00,1999.00,
Herdsman,199.00,199.00,
Innaloo - Doubleview,299.00,3000.00,
Karrinyup - Gwelup - Carine,1249.00,2999.00,
Nollamara - Westminster,599.00,1999.00,
Osborne Park Industrial,199.00,199.00,
Scarborough,1249.00,3000.00,
Stirling - Osborne Park,599.00,1999.00,
Trigg - North Beach - Watermans Bay,599.00,3000.00,
Tuart Hill - Joondanna,599.00,1999.00,
Wembley Downs - Churchlands - Woodlands,1249.00,3000.00,
Yokine - Coolbinia - Menora,599.00,1999.00,
Alexander Heights - Koondoola,599.00,399.00,
Butler - Merriwa - Ridgewood,599.00,1999.00,
Carramar,599.00,1999.00,
Clarkson,1249.00,1999.00,
Girrawheen,599.00,599.00,
Madeley - Darch - Landsdale,1249.00,1999.00,
Marangaroo,599.00,599.00,
Mindarie - Quinns Rocks - Jindalee,599.00,1999.00,
Neerabup National Park,199.00,199.00,
Tapping - Ashby - Sinagra,1999.00,1999.00,
Wanneroo,599.00,1999.00,
Armadale - Wungong - Brookdale,599.00,599.00,
Ashendon - Lesley,199.00,199.00,
Camillo - Champion Lakes,599.00,599.00,
Forrestdale - Harrisdale - Piara Waters,1249.00,1999.00,
Kelmscott,599.00,599.00,
Mount Nasura - Mount Richon - Bedfordale,599.00,1999.00,
Roleystone,599.00,799.00,
Seville Grove,799.00,1999.00,
Belmont - Ascot - Redcliffe,599.00,1999.00,
East Victoria Park - Carlisle,599.00,1999.00,
Kewdale Commercial,199.00,799.00,
Perth Airport,199.00,199.00,
Rivervale - Kewdale - Cloverdale,599.00,1999.00,
Victoria Park - Lathlain - Burswood,1249.00,1999.00,
Bentley - Wilson - St James,599.00,399.00,
Canning Vale - West,1999.00,2999.00,
Canning Vale Commercial,199.00,199.00,
Cannington - Queens Park,599.00,1999.00,
Parkwood - Ferndale - Lynwood,1249.00,999.00,
Riverton - Shelley - Rossmoyne,599.00,1999.00,
Welshpool,199.00,1999.00,
Willetton,1249.00,1999.00,
Beckenham - Kenwick - Langford,599.00,1249.00,
Canning Vale - East,1999.00,2999.00,
Gosnells,599.00,599.00,
Huntingdale - Southern River,599.00,1999.00,
Maddington - Orange Grove - Martin,599.00,1249.00,
Thornlie,599.00,1999.00,
Forrestfield - Wattle Grove,599.00,1999.00,
High Wycombe,599.00,1999.00,
Kalamunda - Maida Vale - Gooseberry Hill,799.00,799.00,
Lesmurdie - Bickley - Carmel,399.00,1999.00,
Byford,599.00,1999.00,
Mundijong,599.00,999.00,
Serpentine - Jarrahdale,599.00,1999.00,
Como,1249.00,1999.00,
Manning - Waterford,299.00,599.00,
South Perth - Kensington,1249.00,2999.00,
Banjup,1249.00,1999.00,
Bibra Industrial,999.00,1499.00,
Bibra Lake,199.00,199.00,
Coogee,599.00,1999.00,
Coolbellup,399.00,399.00,
Hamilton Hill,599.00,599.00,
Henderson,199.00,199.00,
North Coogee,199.00,2999.00,
South Lake - Cockburn Central,599.00,1999.00,
Spearwood,599.00,1999.00,
Success - Hammond Park,1249.00,1999.00,
Yangebup,599.00,1999.00,
East Fremantle,599.00,3000.00,
Fremantle,299.00,1999.00,
Fremantle - South,399.00,399.00,
O'Connor (WA),199.00,199.00,
