,SA2 Code,SA2 Name,Income,2006,2011
0,502011021,Dawesville - Bouvard,$1-$199,3.0,9.0
1,502011021,Dawesville - Bouvard,$200-$299,13.0,23.0
2,502011021,Dawesville - Bouvard,$300-$399,16.0,46.0
3,502011021,Dawesville - Bouvard,$400-$599,27.0,56.0
4,502011021,Dawesville - Bouvard,$600-$799,23.0,53.0
5,502011021,Dawesville - Bouvard,$800-$999,18.0,28.0
6,502011021,Dawesville - Bouvard,"$1,000-$1,249",23.0,41.0
7,502011021,Dawesville - Bouvard,"$1,250-$1,499",10.0,25.0
8,502011021,Dawesville - Bouvard,"$1,500-$1,999",16.0,43.0
9,502011021,Dawesville - Bouvard,"$2,000-$2,499",11.0,19.0
10,502011021,Dawesville - Bouvard,"$2,500-$2,999",11.0,27.0
11,502011021,Dawesville - Bouvard,"$3,000 or more",6.0,23.0
12,502011022,Falcon - Wannanup,$1-$199,13.0,12.0
13,502011022,Falcon - Wannanup,$200-$299,42.0,29.0
14,502011022,Falcon - Wannanup,$300-$399,68.0,54.0
15,502011022,Falcon - Wannanup,$400-$599,91.0,114.0
16,502011022,Falcon - Wannanup,$600-$799,47.0,113.0
17,502011022,Falcon - Wannanup,$800-$999,44.0,77.0
18,502011022,Falcon - Wannanup,"$1,000-$1,249",60.0,70.0
19,502011022,Falcon - Wannanup,"$1,250-$1,499",40.0,79.0
20,502011022,Falcon - Wannanup,"$1,500-$1,999",49.0,89.0
21,502011022,Falcon - Wannanup,"$2,000-$2,499",20.0,40.0
22,502011022,Falcon - Wannanup,"$2,500-$2,999",16.0,53.0
23,502011022,Falcon - Wannanup,"$3,000 or more",19.0,37.0
24,502011023,Greenfields,$1-$199,14.0,19.0
25,502011023,Greenfields,$200-$299,65.0,46.0
26,502011023,Greenfields,$300-$399,117.0,80.0
27,502011023,Greenfields,$400-$599,164.0,169.0
28,502011023,Greenfields,$600-$799,99.0,134.0
29,502011023,Greenfields,$800-$999,64.0,98.0
30,502011023,Greenfields,"$1,000-$1,249",115.0,91.0
31,502011023,Greenfields,"$1,250-$1,499",53.0,67.0
32,502011023,Greenfields,"$1,500-$1,999",43.0,101.0
33,502011023,Greenfields,"$2,000-$2,499",16.0,32.0
34,502011023,Greenfields,"$2,500-$2,999",10.0,32.0
35,502011023,Greenfields,"$3,000 or more",6.0,14.0
36,502011024,Halls Head - Erskine,$1-$199,9.0,15.0
37,502011024,Halls Head - Erskine,$200-$299,52.0,43.0
38,502011024,Halls Head - Erskine,$300-$399,71.0,94.0
39,502011024,Halls Head - Erskine,$400-$599,164.0,169.0
40,502011024,Halls Head - Erskine,$600-$799,114.0,133.0
41,502011024,Halls Head - Erskine,$800-$999,103.0,138.0
42,502011024,Halls Head - Erskine,"$1,000-$1,249",147.0,114.0
43,502011024,Halls Head - Erskine,"$1,250-$1,499",97.0,110.0
44,502011024,Halls Head - Erskine,"$1,500-$1,999",109.0,186.0
45,502011024,Halls Head - Erskine,"$2,000-$2,499",57.0,117.0
46,502011024,Halls Head - Erskine,"$2,500-$2,999",57.0,122.0
47,502011024,Halls Head - Erskine,"$3,000 or more",40.0,98.0
48,502011025,Mandurah,$1-$199,38.0,51.0
49,502011025,Mandurah,$200-$299,245.0,145.0
50,502011025,Mandurah,$300-$399,284.0,267.0
51,502011025,Mandurah,$400-$599,277.0,337.0
52,502011025,Mandurah,$600-$799,150.0,227.0
53,502011025,Mandurah,$800-$999,85.0,197.0
54,502011025,Mandurah,"$1,000-$1,249",147.0,154.0
55,502011025,Mandurah,"$1,250-$1,499",62.0,132.0
