,index,0
0,Dawesville - Bouvard,$400-$599
1,Falcon - Wannanup,$400-$599
2,Greenfields,$400-$599
3,Halls Head - Erskine,"$1,500-$1,999"
4,Mandurah,$400-$599
5,Mandurah - East,$400-$599
6,Mandurah - North,"$1,500-$1,999"
7,Mandurah - South,$400-$599
8,Pinjarra,$400-$599
9,City Beach,"$3,000 or more"
10,Claremont (WA),"$2,500-$2,999"
11,Cottesloe,"$3,000 or more"
12,Floreat,"$3,000 or more"
13,Mosman Park - Peppermint Grove,"$3,000 or more"
14,Nedlands - Dalkeith - Crawley,"$2,500-$2,999"
15,Swanbourne - Mount Claremont,"$2,500-$2,999"
16,Kings Park (WA),"$2,500-$2,999"
17,Mount Hawthorn - Leederville,"$3,000 or more"
18,Mount Lawley - Inglewood,"$1,500-$1,999"
19,North Perth,"$3,000 or more"
20,Perth City,"$2,500-$2,999"
21,Subiaco - Shenton Park,"$2,500-$2,999"
22,Wembley - West Leederville - Glendalough,"$1,500-$1,999"
23,Bassendean - Eden Hill - Ashfield,$400-$599
24,Bayswater - Embleton - Bedford,"$1,500-$1,999"
25,Maylands,"$1,000-$1,249"
26,Morley,"$1,500-$1,999"
27,Noranda,"$1,500-$1,999"
28,Chidlow,$300-$399
29,Glen Forrest - Darlington,"$1,250-$1,499"
30,Helena Valley - Koongamia,$400-$599
31,Malmalling - Reservoir,$1-$199
32,Mundaring,"$1,500-$1,999"
33,Swan View - Greenmount - Midvale,$400-$599
34,Avon Valley National Park,$1-$199
35,Ballajura,"$1,500-$1,999"
36,Beechboro,"$1,000-$1,249"
37,Bullsbrook,$400-$599
38,Ellenbrook,"$1,500-$1,999"
39,Gidgegannup,"$1,500-$1,999"
40,Hazelmere - South Guildford,"$1,000-$1,249"
41,Lockridge - Kiara,$400-$599
42,Malaga,$1-$199
43,Melaleuca - Lexia,$1-$199
44,Middle Swan - Herne Hill,"$1,000-$1,249"
45,Midland - Guildford,$600-$799
46,Stratton - Jane Brook,$600-$799
47,The Vines,"$3,000 or more"
48,Walyunga National Park,$1-$199
49,Craigie - Beldon,"$1,500-$1,999"
50,Currambine - Kinross,"$1,500-$1,999"
51,Duncraig,"$1,500-$1,999"
52,Greenwood - Warwick,"$1,500-$1,999"
53,Heathridge - Connolly,"$1,500-$1,999"
54,Hillarys,"$2,500-$2,999"
55,Iluka - Burns Beach,"$2,500-$2,999"
56,Joondalup - Edgewater,"$1,500-$1,999"
57,Kingsley,"$1,500-$1,999"
58,Mullaloo - Kallaroo,"$2,500-$2,999"
59,Ocean Reef,"$2,500-$2,999"
60,Padbury,"$1,500-$1,999"
61,Sorrento - Marmion,"$3,000 or more"
62,Woodvale,"$2,500-$2,999"
63,Balcatta - Hamersley,"$1,500-$1,999"
64,Balga - Mirrabooka,$400-$599
65,Dianella,"$1,500-$1,999"
66,Herdsman,$1-$199
67,Innaloo - Doubleview,"$3,000 or more"
68,Karrinyup - Gwelup - Carine,"$2,500-$2,999"
69,Nollamara - Westminster,"$1,500-$1,999"
70,Osborne Park Industrial,$1-$199
71,Scarborough,"$3,000 or more"
72,Stirling - Osborne Park,"$1,500-$1,999"
73,Trigg - North Beach - Watermans Bay,"$3,000 or more"
74,Tuart Hill - Joondanna,"$1,500-$1,999"
75,Wembley Downs - Churchlands - Woodlands,"$3,000 or more"
76,Yokine - Coolbinia - Menora,"$1,500-$1,999"
77,Alexander Heights - Koondoola,$300-$399
78,Butler - Merriwa - Ridgewood,"$1,500-$1,999"
79,Carramar,"$1,500-$1,999"
80,Clarkson,"$1,500-$1,999"
81,Girrawheen,$400-$599
82,Madeley - Darch - Landsdale,"$1,500-$1,999"
83,Marangaroo,$400-$599
84,Mindarie - Quinns Rocks - Jindalee,"$1,500-$1,999"
85,Neerabup National Park,$1-$199
86,Tapping - Ashby - Sinagra,"$1,500-$1,999"
87,Wanneroo,"$1,500-$1,999"
88,Armadale - Wungong - Brookdale,$400-$599
89,Ashendon - Lesley,$1-$199
90,Camillo - Champion Lakes,$400-$599
91,Forrestdale - Harrisdale - Piara Waters,"$1,500-$1,999"
92,Kelmscott,$400-$599
93,Mount Nasura - Mount Richon - Bedfordale,"$1,500-$1,999"
94,Roleystone,$600-$799
95,Seville Grove,"$1,500-$1,999"
96,Belmont - Ascot - Redcliffe,"$1,500-$1,999"
97,East Victoria Park - Carlisle,"$1,500-$1,999"
98,Kewdale Commercial,$600-$799
99,Perth Airport,$1-$199
100,Rivervale - Kewdale - Cloverdale,"$1,500-$1,999"
101,Victoria Park - Lathlain - Burswood,"$1,500-$1,999"
102,Bentley - Wilson - St James,$300-$399
103,Canning Vale - West,"$2,500-$2,999"
104,Canning Vale Commercial,$1-$199
105,Cannington - Queens Park,"$1,500-$1,999"
106,Parkwood - Ferndale - Lynwood,$800-$999
107,Riverton - Shelley - Rossmoyne,"$1,500-$1,999"
108,Welshpool,"$1,500-$1,999"
109,Willetton,"$1,500-$1,999"
110,Beckenham - Kenwick - Langford,"$1,000-$1,249"
111,Canning Vale - East,"$2,500-$2,999"
112,Gosnells,$400-$599
113,Huntingdale - Southern River,"$1,500-$1,999"
114,Maddington - Orange Grove - Martin,"$1,000-$1,249"
115,Thornlie,"$1,500-$1,999"
116,Forrestfield - Wattle Grove,"$1,500-$1,999"
117,High Wycombe,"$1,500-$1,999"
118,Kalamunda - Maida Vale - Gooseberry Hill,$600-$799
119,Lesmurdie - Bickley - Carmel,"$1,500-$1,999"
120,Byford,"$1,500-$1,999"
121,Mundijong,$800-$999
122,Serpentine - Jarrahdale,"$1,500-$1,999"
123,Como,"$1,500-$1,999"
124,Manning - Waterford,$400-$599
125,South Perth - Kensington,"$2,500-$2,999"
126,Banjup,"$1,500-$1,999"
127,Bibra Industrial,"$1,250-$1,499"
128,Bibra Lake,$1-$199
129,Coogee,"$1,500-$1,999"
130,Coolbellup,$300-$399
131,Hamilton Hill,$400-$599
132,Henderson,$1-$199
133,North Coogee,"$2,500-$2,999"
134,South Lake - Cockburn Central,"$1,500-$1,999"
135,Spearwood,"$1,500-$1,999"
136,Success - Hammond Park,"$1,500-$1,999"
137,Yangebup,"$1,500-$1,999"
138,East Fremantle,"$3,000 or more"
139,Fremantle,"$1,500-$1,999"
140,Fremantle - South,$300-$399
141,O'Connor (WA),$1-$199
142,Bertram - Wellard (West),"$1,500-$1,999"
143,Calista,$400-$599
144,Hope Valley - Postans,"$1,000-$1,249"
145,Kwinana Industrial,"$1,000-$1,249"
146,Parmelia - Orelia,$400-$599
147,Applecross - Ardross,"$2,500-$2,999"
148,Bateman,"$1,500-$1,999"
149,Bicton - Palmyra,"$1,500-$1,999"
150,Booragoon,"$1,500-$1,999"
151,Bull Creek,"$1,500-$1,999"
152,Leeming,"$1,500-$1,999"
153,Melville,"$1,500-$1,999"
154,Murdoch - Kardinya,"$1,500-$1,999"
155,Willagee,$300-$399
156,Winthrop,"$2,500-$2,999"
157,Baldivis,"$1,500-$1,999"
158,Cooloongup,$400-$599
159,Port Kennedy,"$1,500-$1,999"
160,Rockingham,$400-$599
161,Rockingham Lakes,$1-$199
162,Safety Bay - Shoalwater,$400-$599
163,Singleton - Golden Bay - Secret Harbour,"$1,500-$1,999"
164,Waikiki,"$1,500-$1,999"
165,Warnbro,"$1,500-$1,999"
