,SA2 Name,Income_total_2006,Income_total_2011,Income_total_2016,change2006_2011,change2011_2016,change2006_2016,Income%2006_2011,Income%2011_2016,Income%2006_2016
16,Kings Park (WA),199.00,2999.00,3999.00,2800.00,1000.00,3800.00,14.07,0.33,19.10
137,North Coogee,199.00,2999.00,2499.00,2800.00,-500.00,2300.00,14.07,-0.17,11.56
67,Innaloo - Doubleview,299.00,3000.00,2499.00,2701.00,-501.00,2200.00,9.03,-0.17,7.36
128,Manning - Waterford,299.00,599.00,2499.00,300.00,1900.00,2200.00,1.00,3.17,7.36
145,Fremantle,299.00,1999.00,2499.00,1700.00,500.00,2200.00,5.69,0.25,7.36
14,Nedlands - Dalkeith - Crawley,1249.00,2999.00,7999.00,1750.00,5000.00,6750.00,1.40,1.67,5.40
10,Claremont (WA),399.00,2999.00,2499.00,2600.00,-500.00,2100.00,6.52,-0.17,5.26
13,Mosman Park - Peppermint Grove,399.00,3000.00,2499.00,2601.00,-501.00,2100.00,6.52,-0.17,5.26
30,Helena Valley - Koongamia,399.00,599.00,2499.00,200.00,1900.00,2100.00,0.50,3.17,5.26
123,Lesmurdie - Bickley - Carmel,399.00,1999.00,2499.00,1600.00,500.00,2100.00,4.01,0.25,5.26
134,Coolbellup,399.00,399.00,2499.00,0.00,2100.00,2100.00,0.00,5.26,5.26
146,Fremantle - South,399.00,399.00,2499.00,0.00,2100.00,2100.00,0.00,5.26,5.26
31,Malmalling - Reservoir,199.00,199.00,999.00,0.00,800.00,800.00,0.00,4.02,4.02
1,Falcon - Wannanup,599.00,599.00,2499.00,0.00,1900.00,1900.00,0.00,3.17,3.17
5,Mandurah - East,599.00,599.00,2499.00,0.00,1900.00,1900.00,0.00,3.17,3.17
22,Wembley - West Leederville - Glendalough,599.00,1999.00,2499.00,1400.00,500.00,1900.00,2.34,0.25,3.17
23,Bassendean - Eden Hill - Ashfield,599.00,599.00,2499.00,0.00,1900.00,1900.00,0.00,3.17,3.17
24,Bayswater - Embleton - Bedford,599.00,1999.00,2499.00,1400.00,500.00,1900.00,2.34,0.25,3.17
25,Maylands,599.00,1249.00,2499.00,650.00,1250.00,1900.00,1.09,1.00,3.17
26,Morley,599.00,1999.00,2499.00,1400.00,500.00,1900.00,2.34,0.25,3.17
27,Noranda,599.00,1999.00,2499.00,1400.00,500.00,1900.00,2.34,0.25,3.17
28,Chidlow,599.00,399.00,2499.00,-200.00,2100.00,1900.00,-0.33,5.26,3.17
29,Glen Forrest - Darlington,599.00,1499.00,2499.00,900.00,1000.00,1900.00,1.50,0.67,3.17
32,Mundaring,599.00,1999.00,2499.00,1400.00,500.00,1900.00,2.34,0.25,3.17
33,Swan View - Greenmount - Midvale,599.00,599.00,2499.00,0.00,1900.00,1900.00,0.00,3.17,3.17
35,Ballajura,599.00,1999.00,2499.00,1400.00,500.00,1900.00,2.34,0.25,3.17
36,Beechboro,599.00,1249.00,2499.00,650.00,1250.00,1900.00,1.09,1.00,3.17
37,Bullsbrook,599.00,599.00,2499.00,0.00,1900.00,1900.00,0.00,3.17,3.17
40,Hazelmere - Guildford,599.00,1249.00,2499.00,650.00,1250.00,1900.00,1.09,1.00,3.17
41,Lockridge - Kiara,599.00,599.00,2499.00,0.00,1900.00,1900.00,0.00,3.17,3.17
46,Stratton - Jane Brook,599.00,799.00,2499.00,200.00,1700.00,1900.00,0.33,2.13,3.17
49,Craigie - Beldon,599.00,1999.00,2499.00,1400.00,500.00,1900.00,2.34,0.25,3.17
63,Balcatta - Hamersley,599.00,1999.00,2499.00,1400.00,500.00,1900.00,2.34,0.25,3.17
65,Dianella,599.00,1999.00,2499.00,1400.00,500.00,1900.00,2.34,0.25,3.17
69,Nollamara - Westminster,599.00,1999.00,2499.00,1400.00,500.00,1900.00,2.34,0.25,3.17
72,Stirling - Osborne Park,599.00,1999.00,2499.00,1400.00,500.00,1900.00,2.34,0.25,3.17
73,Trigg - North Beach - Watermans Bay,599.00,3000.00,2499.00,2401.00,-501.00,1900.00,4.01,-0.17,3.17
74,Tuart Hill - Joondanna,599.00,1999.00,2499.00,1400.00,500.00,1900.00,2.34,0.25,3.17
76,Yokine - Coolbinia - Menora,599.00,1999.00,2499.00,1400.00,500.00,1900.00,2.34,0.25,3.17
77,Alexander Heights - Koondoola,599.00,399.00,2499.00,-200.00,2100.00,1900.00,-0.33,5.26,3.17
78,Butler - Merriwa - Ridgewood,599.00,1999.00,2499.00,1400.00,500.00,1900.00,2.34,0.25,3.17
79,Carramar,599.00,1999.00,2499.00,1400.00,500.00,1900.00,2.34,0.25,3.17
83,Marangaroo,599.00,599.00,2499.00,0.00,1900.00,1900.00,0.00,3.17,3.17
84,Mindarie - Quinns Rocks - Jindalee,599.00,1999.00,2499.00,1400.00,500.00,1900.00,2.34,0.25,3.17
87,Wanneroo,599.00,1999.00,2499.00,1400.00,500.00,1900.00,2.34,0.25,3.17
94,Camillo - Champion Lakes,599.00,599.00,2499.00,0.00,1900.00,1900.00,0.00,3.17,3.17
96,Kelmscott,599.00,599.00,2499.00,0.00,1900.00,1900.00,0.00,3.17,3.17
97,Mount Nasura - Mount Richon - Bedfordale,599.00,1999.00,2499.00,1400.00,500.00,1900.00,2.34,0.25,3.17
98,Roleystone,599.00,799.00,2499.00,200.00,1700.00,1900.00,0.33,2.13,3.17
100,Belmont - Ascot - Redcliffe,599.00,1999.00,2499.00,1400.00,500.00,1900.00,2.34,0.25,3.17
101,East Victoria Park - Carlisle,599.00,1999.00,2499.00,1400.00,500.00,1900.00,2.34,0.25,3.17
104,Rivervale - Kewdale - Cloverdale,599.00,1999.00,2499.00,1400.00,500.00,1900.00,2.34,0.25,3.17
