Year,Month,Median Sale Price,Median Land Area
2013,41275.00,501294,689
2013,41306.00,535000,690
2013,41334.00,540000,696
2013,41365.00,535000,691
2013,41395.00,535000,690
2013,41426.00,540000,693
2013,41456.00,528000,690
2013,41487.00,530000,692
2013,41518.00,535000,688
2013,41548.00,555566,692
2013,41579.00,570000,696
2013,41609.00,567250,696
2014,41640.00,555000,691
2014,41671.00,565000,693
2014,41699.00,564000,693
2014,41730.00,564975,690
2014,41760.00,556250,693
2014,41791.00,555000,693
2014,41821.00,562500,696
2014,41852.00,560000,690
2014,41883.00,570000,696
2014,41913.00,560000,693
2014,41944.00,585000,690
2014,41974.00,560000,697
2015,42005.00,560000,686
2015,42036.00,570000,690
2015,42064.00,565000,690
2015,42095.00,550000,686
2015,42125.00,555000,692
2015,42156.00,565000,685
2015,42186.00,530000,690
2015,42217.00,555000,690
2015,42248.00,530000,690
2015,42278.00,545000,686
2015,42309.00,556000,692
2015,42339.00,555000,695
2016,42370.00,529000,686
2016,42401.00,558000,690
2016,42430.00,539000,690
2016,42461.00,546000,684
2016,42491.00,550000,688
2016,42522.00,539000,688
2016,42552.00,530000,689
2016,42583.00,525000,683
2016,42614.00,535000,688
2016,42644.00,542000,688
2016,42675.00,545000,690
2016,42705.00,544000,693
2017,42736.00,520000,690
2017,42767.00,534000,688
2017,42795.00,540000,696
2017,42826.00,525000,691
2017,42856.00,530500,692
2017,42887.00,525000,688
2017,42917.00,512500,691
2017,42948.00,520000,694
2017,42979.00,520000,693
2017,43009.00,530000,693
2017,43040.00,538000,688
2017,43070.00,530000,700
2018,43101.00,515000,684
2018,43132.00,520000,683
2018,43160.00,537500,686
2018,43191.00,525000,689
2018,43221.00,530000,683
2018,43252.00,520000,685
2018,43282.00,508000,690
2018,43313.00,510000,684
2018,43344.00,510000,689
2018,43374.00,510000,685
2018,43405.00,530000,688
2018,43435.00,505000,685
2019,43466.00,490000,683
2019,43497.00,515000,689
2019,43525.00,520000,690
2019,43556.00,490000,685
2019,43586.00,495000,688
2019,43617.00,505000,685
2019,43647.00,495000,684
2019,43678.00,490000,684
2019,43709.00,495000,683
2019,43739.00,495001,684
2019,43770.00,528300,688
2019,43800.00,505000,686
2020,43831.00,480000,683
2020,43862.00,507500,683
2020,43891.00,480000,683
2020,43922.00,485000,687
2020,43952.00,480000,683
2020,43983.00,510000,689
2020,44013.00,485000,681
2020,44044.00,517750,682
2020,44075.00,525000,683
2020,44105.00,520000,670
